Rumor,Lable,sentiment
"Government Activates Coronavirus Emergency Plan: Morrison To Head To Hawaii Immediately : #auspol #australiapm.
","unreliable
",
"Washington state declares emergency over coronavirus as CDC warns risk is ‘increasing’.
","unreliable
",
"Alex Jones-Infowars - 38% OF AMERICANS REFUSE TO DRINK CORONA BEER DUE TO CORONAVIRUS.
","conspiracy
",
"Coronavirus panic grips California as anxious shoppers stock up on supplies Daily Mail Online.
","unreliable
",
"Professor Warns Coronavirus Similar To Anthrax – China Has Much To Answer!
","unreliable
",
"#Coronavirus panic grips California as shoppers stock up on supplies.
","unreliable
",
"Just Another Reason To Love Israel…‘In A Few Weeks, We Will Have Coronavirus Vaccine’.
","unreliable
",
"NO, Trump Did NOT Call Coronavirus A Hoax…But He Did Dunk On Democrats!
","unreliable
",
"Its happening Australia also.
","unreliable
",
"Interesting read.
","conspiracy
",
"Bundestag called to suspend Defender-Europe 20 #EU #Germany #Merkel #Coronavirus #Defender20.
","unreliable
",
"Again...Be careful going to these Chinese restaurants hair shops and nail solons they are spitting on everything.
","unreliable
",
"This is no time to panic, but to think strategically. #COVID19 #KAG.
","political/bias
",
"Single nurse, 30, asks China to assign her a boyfriend for helping Wuhan fight coronavirus.
","unreliable
",
"What about our Israeli Friends?
","conspiracy
",
"Passengers can fly to the UK from Italys coronavirus zone without any #health checks #news.
","unreliable
",
"From everything Ive read this is not just cold and flu...this is far more nefarious.
","conspiracy
",
"Of the 35 deaths, only one has been reported to have taken place in Hubei province’s Wuhan city.
","unreliable
",
"multiple outbreaks are taking place across the West Coast, up and down California, Oregon and Washington.
","conspiracy
",
"Who is safe?
","unreliable
",
"Ian Brownlee needs to be fired. He put Americans health and lives at risk.
","unreliable
",
"They are so nasty that’s why their virus is spreading.
","unreliable
",
"I would like to nominate COVID-19 for all of the environmental awards.
","unreliable
",
"Scientists Discover HIV-Like ""Mutation"" Which Makes Coronavirus Extremely Infectious.
","conspiracy
",
"BIGGEST DROP IN HISTORY: Dow plummets by record 1,190 points as coronavirus panic week drags on — RT Business News.
","unreliable
",
"MUST MUST WATCH: CORONAVIRUS: THE HIDDEN DANGER REVEALED.
","conspiracy
",
"Mongolian President & Entire Delegation Quarantined After China Visit.
","conspiracy
",
"Republic of Ireland confirms its first case of coronavirus Daily Mail Online.
","unreliable
",
"China concerned Western authoritarian government will cover up coronavirus outbreaks.
","unreliable
",
"When decisions are embedded in statutory red tape we can no longer govern our country. Det…
","unreliable
",
"Retired doctors and nurses could be asked to return to NHS under new UK coronavirus battle…
","unreliable
",
"Five Things You Probably Dont Know About the Coronavirus News and Politics.
","political/bias
",
"Pepe Escobar - No Weapon Left Behind: The American Hybrid War on China — Strategic Culture.
","unreliable
",
"Escobar: No Weapon Left Behind - The American Hybrid War On China.
","conspiracy
",
"Did a 1981 Dean Koontz thriller predict the coronavirus outbreak?
","unreliable
",
"RT marklevinshow: The Democrat Party’s radicalism.
","political/bias
",
"China Proves Jimmy Lais Warning Correct, by Arresting Him.
","political/bias
",
"Eurozone crisis: Merkel faces turmoil as Germany forecast to plunge into deep recession.
","unreliable
",
"& their lapdog media lie again. What’s new?
","political/bias
",
"Iran blames Trump for coronavirus, Islamic leaders refuse to suspend Friday prayer gatherings.
","conspiracy
",
"Cher Spreads Fake News Claiming Trump Called Coronavirus A ‘Hoax’ Tea Party.
","unreliable
",
"Health chiefs urge over-60s to avoid crowds.
","unreliable
",
"Greta, where is your mask ?
","unreliable
",
"Democrats Lie About Coronavirus To Attack Trump. Their Policies Could Make Fighting Pandemics More Difficult.
","political/bias
",
"#ICYMI: Hey, coronavirus and the rest of the world, give China a break! — RT #ICYMI with Polly Boiko.
","unreliable
",
"Could Central Bankers Use Coronavirus as the Scapegoat to Deflect Blame for the Next Imminent Global Economic.
","conspiracy
",
"Breaking: First Coronavirus Death Confirmed in U.S. - Comes as four other independent cases…
","conspiracy
",
"Bill Maher Warns Trump ‘Going To Declare Martial Law’ Over Coronavirus - Left believes Trum…
","conspiracy
",
"New England Journal of Medicine: Coronavirus Could Be No Worse than Flu - The fatality rate…
","conspiracy
",
"Idiocracy: 38% of Americans Refuse To Drink Corona Beer Due To Coronavirus - Do people real…
","conspiracy
",
"Coronavirus Reappearing Weeks Later In Discharged Patients - Reinfection may be deadlier th…
","conspiracy
",
"Infowars Reporters 86ed From CPAC – Watch Live - Watch & share this vital broadcast on coronavirus, economy, more.
","conspiracy
",
"Lebanese Students Sprayed With Disinfectant To Prevent Coronavirus - Video shows men with p…
","conspiracy
",
"81% Of South Korean Shincheonji ‘End Of Days Worshippers Test Positive For Coronavirus.
","conspiracy
",
"The Coronavirus 5G Connection and Coverup.
","conspiracy
",
"Its Time To Stop Pretending That In All Of Africa Theres Only 3 Covid-19 Cases.
","conspiracy
",
"Special Ep 29- War Room: Pandemic, Wuhan Coronavirus - Gnews.
","unreliable
",
"Coronavirus: When All Else Fails, Try Reason.
","political/bias
",
"WHO bumps coronavirus threat assessment to ‘very high’ global risk — RT World News.
","unreliable
",
"Chinese scientists raised alarm over coronavirus in December.
","unreliable
",
"Pre-season #Cricket action involving Essex in Abu Dhabi under threat due to coronavirus Rea…
","unreliable
",
"The decision comes in the wake of Iran witnessing a massive outbreak of the virus -- Covid-19.
","unreliable
",
"Corona-fear: France bans all mass public gatherings in confined spaces as German, Swiss fairs canceled #.
","unreliable
",
"you are advised to stay at home petal.
","unreliable
",
"Wuhan Corona virus is deadlier than SARS..
","unreliable
",
"Its Habbening.... Washington Declares State Of Emergency After 1st US Death.
","conspiracy
",
"As Virus Spreads Over The Planet Governments Are Slow To React..#coronavirusus.
","political/bias
",
"Rather afraid so...😳😓🧐.
","unreliable
",
"COVID-19 Coronavirus: A Fake Pandemic? Who’s Behind It? Global Economic, Social and Geopolitical Destabilization.
","conspiracy
",
"The Shipping Container Industry Has Gamed Out What the Coronavirus May Do. Take a Seat.
","political/bias
",
"Emergency powers maybe introduced by the government regarding the coronavirus.
","unreliable
",
"Coronavirus: The “Cures” Will Be Worse Than the Disease.
","conspiracy
",
"This wont be going away anytime soon.
","conspiracy
",
"Actually, the saudis are telling them not to drink camel pee for coronavirus.
","unreliable
",
"CORONA CRASH 2020: The Real Conspiracy Behind the Globalist Takeover Plot Nice theory. Who…
","unreliable
",
"A lonly scream in an everlasting darkness 😀 #COVID2019 #coronavirus.
","unreliable
",
"#Coronavirus - The Cures Will be Worse Than the Disease.
","conspiracy
",
"‘BDS THIS’ Israel Makes ‘Exciting Breakthrough’ In Race For 🌡🧫🧪🩸Coronavirus Vaccine 🦠🧬💉.
","political/bias
",
"Scientists claim antibiotics already on market can treat coronavirus.
","unreliable
",
"Already done.
","unreliable
",
"On February 6, 2020, Miles Guo’s interview with Mr.Bannon at War Room.
","unreliable
",
"Coronavirus Deaths, Infections EXPLODE In Iran, Iranian Official Admits Iran Is Lying #Iran #Coronavirus (#COVID19).
","political/bias
",
"TUI says Britons quarantined in Tenerife allowed to return to Britain #Coronavirus #COVID19 #コロナウイルス.
","unreliable
",
"President Trump Supports People to Prepare Food and Drugs during Coronavirus Pandemic.
","unreliable
",
"England to prepare for Euro 2020 as usual despite coronavirus threat #Coronavirus #COVID19 #コロナウイルス.
","unreliable
",
"Unfortunately those unable to appreciate the science are most at risk.
","unreliable
",
"Time is coming.
","unreliable
",
"This is taking it seriously. There was zero everyday advice at the conference. None.
","unreliable
",
"Tim Burgess went viral with the newsagent’s ‘warning’ he found on the Sun and Daily Mail.
","unreliable
",
"Wuhan invited to El Clasico by Madrid after getting stuck in Spain.
","unreliable
",
"KEEP IT UP, Muslims, you will be the last to get the vaccine against the Coronavirus.
","unreliable
",
"But but Lady Hale. Can we not put her in public places for being a treacherous old hag?
","unreliable
",
"Avoid crowds, crowded places and stay home.
","unreliable
",
"Coronavirus impact on airline industry is already WORSE than 9/11.
","unreliable
",
"Empty seats and deserted terminals: Coronavirus impact on airlines #topbuzz.
","unreliable
",
"Wannabe.
","unreliable
",
"Over 60’s advised to avoid crowds! A bit difficult If you need to work and use public transport to get there !
","unreliable
",
"Why is she jetting anywhere right now? Stupid...
","unreliable
",
"Another look at the coronavirus and preparedness.
","conspiracy
",
"What is Ca doing about their homeless during this corona panic? ....
","unreliable
",
"Dems Keep Blasting Trump’s Coronavirus Plan, But Have No Clue What To Do Themselves.
","unreliable
",
"FYI, please see a solution to this coronavirus from S. Korea: Please st…
","conspiracy
",
"Thats a total LIE! Heres what he REALLY said 👇👇👇👇.
","political/bias
",
"United Ireland Plans Cancelled Indefinitely As N. Ireland Corona Case Confirmed.
","unreliable
",
"#Coronavirus: The #Cures” Will Be #Worse Than the #Disease.
","conspiracy
",
"The #facemask that could spot the killer #China #coronavirus #bigdata…
","unreliable
",
"Chinese scientists raised alarm over coronavirus in December but government ordered cover-up.
","unreliable
",
"Democrats escalate the lies they’re throwing at Trump about coronavirus.
","political/bias
",
"Coronavirus is probably both worse and better than people think.
","political/bias
",
"Matt Hancock refuses to rule out a Wuhan-style quarantine for an entire UK CITY.
","unreliable
",
"Now get ready for the crazed rhesus monkeys.
","unreliable
",
"Donald Trump’s coronavirus conspiracies are spiraling out of control.
","political/bias
",
"Is it coincidence or deliberately happened ??
","unreliable
",
"Coronavirus Can’t Explain Tanking Stock Market, But Bernie’s Success Can: Economist.
","unreliable
",
"Weaponization of Coronavirus.
","political/bias
",
"Five Things You Probably Dont Know About the Coronavirus #NewsandPolitics.
","political/bias
",
"Controversial Theories Suggest Coronavirus Was Created In A Lab.
","conspiracy
",
"Numbers Show Coronavirus Appears Far Less Deadly Than Flu, But Gov& #8217 t, Media Keep Promoting Panic.
","unreliable
",
"#uk #brexit #conservatives #coronavirus #coronavirusuk here comes the city wide lockdown in uk.
","unreliable
",
"#Pope makes first public appearance following £illness #bigdata…
","unreliable
",
"Despite coronavirus outbreak, leftists want open borders for migrants.
","unreliable
",
"TERRIFYING STATISTIC Bitter Irony: 81% Of South Korean End Of Days Worshippers Test Positive For Coronavirus.
","unreliable
",
"CORONAVIRUS BIOWEAPON MYSTERY SOLVED: It’s all in the name!
","unreliable
",
"Is Wall Street Behind the Delay in Declaring the Coronavirus Outbreak a “Pandemic”?
","political/bias
",
"Will Coronavirus Be the Black Swan that Pops the Bubble of Everything in 2020?
","conspiracy
",
"hey friends, mes amis, meine freunde!!!!!!!
","unreliable
",
"The PRESS IS SO BIASED! A little truth! Please.
","political/bias
",
"#CoronaVirus could destroy #DonaldTrump’s reelection bid according to top expert #CoronaVirusUS #News.
","unreliable
",
"Why you should NOT be worried about your PETS catching coronavirus #Coronavirus #COVID19 #コロナウイルス.
","unreliable
",
"Lies ma.
","conspiracy
",
"How Irans Regime Spread Coronavirus to the Middle East.
","unreliable
",
"You cant make this up. Crazy.
","conspiracy
",
"Is Wall Street Behind The Delay In Declaring The Covid-19 Outbreak A ""Pandemic""?
","conspiracy
",
"This is spot on. Panic is the worst reaction.
","unreliable
",
"EU Officials Refuse to Implement Border Controls to Stop Coronavirus.
","conspiracy
",
"It begins: FDA announces first drug shortage with more sure to come since most pharmaceuticals are made in China.
","conspiracy
",
"Dont listen to the dinosaur press. They will never acknowledge the truth. #NewsandPolitics.
","political/bias
",
"WAT EEN TOEVALLIG TOEVAL ❓❓ Israeli Scientists Say They Will Have Coronavirus Vaccine ""In A Few Weeks"".
","conspiracy
",
"No more purchases from China.
","unreliable
",
"Democrats escalate the lies they’re throwing at Trump about coronavirus - American Thinker.
","political/bias
",
"North Koreas First Confirmed Coronavirus Patient Shot Dead Thats how Kim deals with corona.😎.
","conspiracy
",
"One tale of an American coronavirus patient.
","unreliable
",
"#Kourtney and Kim Kardashian attend Kanye Wests #Paris #Sunday Service.
","unreliable
",
"Clarice Feldman Coronavirus..try reason.
","political/bias
",
"US military bases in South Korea placed on lockdown to stop novel coronavirus spread — RT World News.
","unreliable
",
"Q and A on Coronavirus Wash your hands often,dont shake hands...
","unreliable
",
"#MarkLevin Blasts #Democrats For #Impeachment Amid #Coronavirus.
","political/bias
",
"Border Security Key to Curbing Coronavirus Entry into US states.
","political/bias
",
"Nature telling us to slow down or it’s going to bite back.
","unreliable
",
"Coronavirus panic grips California with anxious shoppers stocking up on bottled water...
","unreliable
",
"Fake News caught LYING ...... AGAIN. Media Claims Trump Called Coronavirus A ‘Hoax.’ Here’s What He Actually Said.
","political/bias
",
"Splendid Canada, you heard your people.
","unreliable
",
"President Trump Supports People to Prepare #Food and #Drugs during #Coronavirus #Pandemic.
","unreliable
",
"#EUiskaput #coronavirus Silver Linings Playbook: 119 People Quarantined In A Brothel In Spain.
","conspiracy
",
"Obscene.
","conspiracy
",
"A woman who ""slept with several clients"" tested positive for coronavirus...   - #zerohedge.
","conspiracy
",
"Coronavirus: When All Else Fails, Try Reason - American Thinker.
","political/bias
",
"Coronavirus news.. UN World Health Organisation urges elderly (over 60s) to avoid crowds... DoG.
","unreliable
",
"Seems like africa has more epidemics than any other country. One would think they would ev…
","conspiracy
",
"As we reported earlier, the virus is a possible escapee from a lab in China, officials have some question to answer.
","unreliable
",
"“Catastrophic”: Iranian Whistleblower Claims Government Hiding True Number of Coronavirus Victims.
","conspiracy
",
"For everyone asking me ‘will I get it/should I buy a mask/can I go to Spain’... answers here.
","unreliable
",
"Calm down! WHO tells global markets not to panic after coronavirus wipes $5 trillion off stocks — RT Business News.
","unreliable
",
"Schools could close for TWO MONTHS under plan to contain coronavirus.
","unreliable
",
"I found this gem.
","unreliable
",
"Coronavirus Flu.. When Experts & Democrats - All Else Fails, Try President Trumps Reason & Common Sense... DoG.
","political/bias
",
"The Voice of Desperation #Coronavirus #Wuhan,.
","unreliable
",
"China killing citizens for organs. I suspect Muslim organs are in demand. FYI - Israel does the same.
","unreliable
",
"Coronavirus: When All Else Fails, Try Reason -- hate reason.
","political/bias
",
"To you and your staff, many, many thank you’s Mr President!
","political/bias
",
"Sanders Mocks Pence Millions of Americans Christian Faith with Offensive Coronavirus Comment.
","unreliable
",
"Coronavirus: When All Else Fails, Try Reason Luckily for us the President has taken major s…
","political/bias
",
"If I had to be quarantined for Corona Virus I would prefer it this way.
","conspiracy
",
"Never let a crisis go to waste, even if you have to manufacture it. Coronavirus: When All Else Fails, Try Reason.
","political/bias
",
"Cher spreads #FakeNews claiming #Trump called #coronavirusus a hoax #SundayMotivation…
","unreliable
",
"Elizabeth Warren: We Must Use Funds Allocated To Build Trump’s Wall To Fight Coronavirus vi…
","unreliable
",
"Great advice from Paul Craig Roberts: How to Strengthen Yourself Against the Virus.
","political/bias
",
"Twelve more people test positive for coronavirus in England bringing the total UK cases to 35 Daily Mail Online.
","unreliable
",
"Twelve more test positive for coronavirus in England Twelve more test positive for coronavirus in England.
","unreliable
",
"I had all my news outlets scrub the story.👹 I couldnt shut down InfoWars though.
","conspiracy
",
"Were All Going To Get It: Life In Italys Coronavirus Red Zone Getting A Little Crazy.
","conspiracy
",
"Smackdown:JakeTapper calls out Ted Lieu 4 lying about Trump& coron…
","political/bias
",
"Chinese Government Also Ran A Coronavirus Drill 30 Days Prior To The Deadly Virus Outbreak.
","conspiracy
",
"Trump And The Politics Of Coronavirus Support Trump he means it ,America first !
","conspiracy
",
"Good sense from Clarice ... again. Thank you! — Coronavirus: When All Else Fails, Try Reason.
","political/bias
",
"That’s one way to do it. 😲.
","conspiracy
",
"China’s tragic choice: Run the factories and sacrifice the workers, or halt the factories and lose the nation.
","unreliable
",
"NIH spent more than $700 million in taxpayer money to develop coronavirus pharmaceuticals, vaccines and bioweapons.
","unreliable
",
"When Bloomberg News’s reporting on China was challenged, Bloomberg tried to ruin me for speaking out.
","unreliable
",
"Coronavirus: When All Else Fails, Try Reason - American Thinker - Join the conversation on.
","political/bias
",
"Coronavirus: When All Else Fails, Try Reason Contrast with Pres Obamas response to swine flu epidemic in 2015.
","political/bias
",
"Ya know.. like the flu..
","unreliable
",
"stupid muslims come to me muslim.
","unreliable
",
"2010? Heres one from 1981.
","unreliable
",
"#JenniferLopez is in no rush to get #married to fianc?? Alex Rodriguez.
","unreliable
",
"Coronavirus: When All Else Fails, Try Reason #RicoTheDems #ArrestThemAllNow #ImpeachObamasJudges #realnews #feedly.
","political/bias
",
"WALL STREET JOURNAL: The Coronavirus Isn’t Partisan: Maybe we should quarantine Capitol Hill unt…
","political/bias
",
"Boris Johnson hails frontline NHS staff UKs greatest asset in face of coronavirus outbreak.
","unreliable
",
"Abolish the CDC (Centers for Disease Creation and Propagation), a captured agency.
","unreliable
",
"Mike Pence warns of MORE American deaths from coronavirus.
","unreliable
",
"Disgusting and not surprised.
","unreliable
",
"Passengers fly into UK from northern Italy without coronavirus checks.
","unreliable
",
"Who is best / worst prepared. USA is no 1. (Africa is mostly run by Chinese, yet no outbreak?).
","conspiracy
",
"""Beijing naval expert Li Jie #China has...sufficient capacity to end.
","unreliable
",
"China is Confronting the COVID-19 Epidemic. Was It Man-Made? An Act of of Bio-warfare? - Global Research.
","conspiracy
",
"119 People Quarantined In A Brothel In #Valencia #Spain #coronavirus.
","conspiracy
",
"Life in Italy today.
","conspiracy
",
"9 Pages. The Coronavirus 5G Connection and Coverup February 18, 2020.
","conspiracy
",
"Extinction Rebellion packs it in after clever man points out their phones are made in China NewsThump.
","unreliable
",
"Clyde wrote, ""You can use oxygen tanks if there is a shortage of ventilators. Oxy…
","political/bias
",
"Investigation finds systematic and widespread evidence of organ harvesting in China Sent.
","unreliable
",
"Story on nCoV2019 near Milan.
","conspiracy
",
"Border Security Key to Curbing Coronavirus in US, Cuccinelli Says.
","political/bias
",
"Dont panic! Get informed.
","conspiracy
",
"BREAKING: First Confirmed Coronavirus Death In U.S. Occurs.
","political/bias
",
"Laser Fired at US Navy Plane, China Suspected.
","unreliable
",
"They Have LIARISM! 👇.
","unreliable
",
"✌️😎Nothing like panic. Coronavirus panic grips California as shoppers stock up on supplies.
","unreliable
",
"Ill just leave this right here.....
","political/bias
",
"#CoronaVirus5GUpdate Harvard professor: As many as 70% of the planet’s population will catch Coronavirus.
","conspiracy
",
"YOU MEAN THE FILTHY Democrats escalate the lies they’re throwing at Trump about coronavirus.
","political/bias
",
"Thats one way to shut down the #YellowVestProtest.
","unreliable
",
"Hunt for Surreys coronavirus patient zero Hunt for Surreys coronavirus patient zero.
","unreliable
",
"On the lighter side: i wonder how these mens wives will react #coronavirus.
","conspiracy
",
"This makes a lot of sense. Answers a few questions.
","conspiracy
",
"Macron can Suck a Dick pt. 72.
","unreliable
",
"“We’re All Going To Get It”: Life In Italy’s Coronavirus ‘Red Zone’ Getting ‘A Little Crazy’.
","conspiracy
",
"File under unclear on the concept: Elizabeth Warren seeks to divert border wall funding to combating coronavirus.
","political/bias
",
"#Juventus under lockdown due to #coronavirus fears #CoronaVirusUpdate #Milan #Italy #SerieA.
","unreliable
",
"China will admit coronavirus coming from its P4 lab on…
","unreliable
",
"Number of US Coronavirus Cases with Unknown Origin Rises to 4.
","unreliable
",
"sorry its the Heil but happy Sunday is this although its pocket money to them. Dont buy,…
","unreliable
",
"Trump tells Republicans to vote for Sanders in Democratic primary.
","unreliable
",
"Coronavirus LIVE: UK outbreak as 12 people in England test positive for virus in 24 hours.
","unreliable
",
"Democrats Infecting America?
","political/bias
",
"#Bella Hadid nails casual #chic as she arrives at #Balenciaga show.
","unreliable
",
"Coronavirus Is Out of Control Mainstream Health Experts Warn World To Prepare For Global Spread.
","conspiracy
",
"Simple. They dont want to catch it. Bugger the rest of us.
","unreliable
",
"France bans gatherings of more than 5,000 as coronavirus cases mount in Iran and South Korea.
","unreliable
",
"Will China’s dominance in bitcoin mining come to an end? RT’s Keiser Report investigates.
","unreliable
",
"Facebook Fact-Checkers Admit Trump Never Said Coronavirus Was a Hoax #NewsandPolitics.
","political/bias
",
"Video: CNN Host Compares ‘Unstoppable’ Bernie Sanders to Deadly Coronavirus.
","conspiracy
",
"Gents, no kissing please.
","unreliable
",
"Opioid epidemic: who’s quilty?
","conspiracy
",
"Then there’s this. Symptoms/mortality rate may change. Motives? Maybe not.
","unreliable
",
"I suppose life could still be worse for them.
","unreliable
",
"Rush: Coronavirus Being Used by Media To Tank Trumps Economy #Coronavirus #WashYourHands.
","unreliable
",
"Here’s Why I Don’t Really Trust the Official American Coronavirus Numbers.
","conspiracy
",
"It does not appear to be as bad as the MSM is making it out to be.
","conspiracy
",
"Mark Levin At CPAC: ""You Know What Were Doing When The Coronavirus Broke Out? Impeachment"".
","unreliable
",
"👀 Of Darkness #COVID19.
","unreliable
",
"If it’s not masonic 33, it’s 2 of them. 😅 Bill Gates calls coronavirus a once-in-a-century pathogen.
","unreliable
",
"Honestly, nobody cares. It’s theatre for tourists and photojournalists anyway.
","unreliable
",
"Coronavirus End Game: The Economic Crisis & Roll Out of the New Digital Financial System - Activist Post.
","conspiracy
",
"Some benefits of #Coronarivus.
","unreliable
",
"Good glad too.hear this is seriously.will.need lock down.
","unreliable
",
"This is important I think Read also & reports.
","unreliable
",
"Joining Cuccinelli on the CPAC stage was Rich Valdes, host of the “This Is America” ⁦#CPAC2020.
","political/bias
",
"Health chiefs urge over-60s to avoid crowds as coronavirus panic spreads Daily Mail Online.
","unreliable
",
"Trump Considers Invoking ‘Special Powers’ To Rapidly Combat Coronavirus.
","political/bias
",
"ISIS Weekly Editorial: Coronavirus Outbreak In Iran Is Proof That ""Shiitism Is A False Religion"".
","unreliable
",
"Now its serious. NYSE considers shutting trading floor.
","unreliable
",
"The U.S. Should Hold Onto Turkey for One Big Reason: China - Big League Politics.
","unreliable
",
"UAE games and Sri Lanka curtain-raiser in doubt.
","unreliable
",
"The CDC isnt worried, nor should we be - the flu has already killed more people.
","unreliable
",
"some facts about the virus . the BBC and sly and others seem to be going down there normal…
","unreliable
",
"Yall just calm the f**k down..... #NewsandPolitics.
","political/bias
",
"Will Chinas dominance in #bitcoin mining come to an end? RTs Keiser Report investigates.
","unreliable
",
"Will Chinas dominance in bitcoin mining come to an end? RTs Keiser Report investigates.
","unreliable
",
"Use this information however you wish.
","unreliable
",
"😂 I concur, stupidity is much more viral these days 🤷🏼‍♀️.
","unreliable
",
"PAUL THOMAS on...Canada saying it wont protect Harry and Meghan.
","unreliable
",
"CORONAVIRUS BIOWEAPON MYSTERY SOLVED: It’s all in the name! – The Millennium Report.
","unreliable
",
"China officials knew of coronavirus in December, ordered cover-up, report says.
","political/bias
",
"Dumb Dang Dems! 🤦‍♀️ Media Claims Trump Called Coronavirus A ‘Hoax.’ Here’s What He Actually Said.
","political/bias
",
"Ocasio-Cortez touches her hair and face several times while warning people not to do so because of coronavirus.
","political/bias
",
"Triggering anti infowars is fun. New England Journal of Medicine: Coronavirus Could Be No Worse than Flu.
","conspiracy
",
"Dog Tests “weak positive” For COVID-19 In Hong Kong Trump Puts Pence In Charge Of Policing Information.
","conspiracy
",
"Mini Mikes first public delusion (With 60 Billion you can afford it).
","unreliable
",
"The politics behind COVID-19 - Coronavirus (Video).
","unreliable
",
"Deepak Chopra: How To Deal With the Coronavirus.
","conspiracy
",
"Covid-19 End Game: Economic Crisis & Roll Out of New Digital Financial System.
","conspiracy
",
"Coronavirus??? You diseased pigs in that San Francisco sh*thole should be doing this regardless.
","unreliable
",
"Mike Pence introduces program to cure coronavirus carriers with conversion therapy - The Beaverton.
","unreliable
",
"Ok, so its everywhere the same craziness ?
","unreliable
",
"Health chiefs urge over-60s to avoid crowds as #coronavirus panic spreads.
","unreliable
",
"I still think China isnt being fully transparent about the coronavirus.
","unreliable
",
"7 NWO Agendas Accompanying the Coronavirus Outbreak.
","conspiracy
",
"Here is the love story. 🤓.
","unreliable
",
"#Chinese #scientists raised alarm over #coronavirus in #December #bigdata…
","unreliable
",
"Yep, this is pretty much the scene. I usually disregard The Daily Mail but this time theyve got the vibe right.
","unreliable
",
"China’s Coronavirus. “We Cannot Rule Out Man Made Origin of these Infections” A Russian Appraisal.
","conspiracy
",
"Big deads over there, but in The Netherlands..
","unreliable
",
"‘We’re All Going To Get It’: Life In Italy’s Coronavirus ‘Red Zone’ Getting ‘A Little Crazy’.
","conspiracy
",
"Stop murdering for organs in China.
","unreliable
",
"Shock Video: Food Hoarding Begins at Costco in New York Over Coronavirus Fears #NewsWars #FakeMedia.
","unreliable
",
"How about Facebook, dopey?
","political/bias
",
"no need to panic in #ckont Doc Colby saids we aibts got that there virii in these parts.
","unreliable
",
"The virus is here .. the virus is here.... Are we living in a 21st century Monty Python movie?
","conspiracy
",
"Oath Keepers Coronavirus Warning and Advice on How to Protect Yourself.
","political/bias
",
"Typical Democrat propaganda.
","political/bias
",
"Louvre closed over coronavirus concerns, leaving blindsided visitors freezing outside.
","unreliable
",
"and this linkclickbait-political/bias Trump administration considers (this is not a joke) tax cuts to respond to coronavirus.
","unreliable
",
"""Truth is the Daughter of Time, not of Authority."".
","political/bias
",
"🚨 At Stores Across The Country, The Panic Coronavirus Hoarding Begins.
","conspiracy
",
"#Coronavirus: A Great Opportunity For Dems To Attack Trump?
","conspiracy
",
"Media Claims Trump Called Coronavirus A ‘Hoax.’ Here’s What He Actually Said · American Truth Today.
","unreliable
",
"Sunday Live: NIH Confirms Community Outbreaks Of Coronavirus In U.S. #CoronavirusOutbreak #CoronaVirusUpdate.
","conspiracy
",
"Theres No Pollution - NASA Satellite Images Expose Chinas ""Production Has Resumed"" False Narrative.
","conspiracy
",
"Coronavirus: When All Else Fails, Try Reason Don’t fall for the media hype. Mind control at work .
","political/bias
",
"Instapundit » » NICE WORK, GUYS: China officials knew of coronavirus in December, ordered cover-up, report says. …
","political/bias
",
"Corona virus to the rescue! STOP THE WAR GAMES!
","unreliable
",
"Dems Are Lying About Coronavirus And Trump Slashing CDC, And Even the APs Calling Them Out.
","unreliable
",
"Dr. Drew: Media ‘Needs To Shut Up’ About Coronavirus, ‘You’re More Likely To Die Of Influenza’.
","political/bias
",
"#coronavirus ""Theres No Pollution"" - NASA Satellite Images Expose Chinas ""Production Has Resumed"" False Narrative.
","conspiracy
",
"Normies still posting this on fbook.
","unreliable
",
"Congrats to Arrogant bastard, State Dept.s Ian Brownlee. Western state now feeling the d…
","conspiracy
",
"Alameda County Declares State Of Emergency After Medics Test Positive, Global Virus Deaths Pass 3,000: Live Updates.
","conspiracy
",
"Intellectual Dark Webs Eric Weinstein: How Can We Be Sure China, Russia or Iran Wasnt Behind Epstein?
","unreliable
",
"I think tRump is idiot zero.
","unreliable
",
"Coronavirus Has Reached Community Spread Within United States: Dr. Anthony Fauci.
","conspiracy
",
"Bloomberg Purchases 3-Minute Primetime Slot for Coronavirus Ad.
","unreliable
",
"#Coronavirus could be 1,000 times #more #infectious than SARS, scientists warn.
","unreliable
",
"Coronageddon: Can A ""Minsky Moment"" Be Avoided?
","conspiracy
",
"Dr. Drew: Media ‘Needs To Shut Up’ About #Coronavirus, ‘You’re More Likely To Die Of Influenza’ The Daily Wire.
","political/bias
",
"Poor beard bros.
","unreliable
",
"Trump Announces New Plans After the First U.S. Coronavirus Death.
","unreliable
",
"Alarming videos show Iranians LICKING holy shrines in religious tradition.
","unreliable
",
"Trump Admin Pushes Back on Chinas Effort To Control UN Intellectual Property Agency.
","unreliable
",
"Coronavirus Attacks In Thailand.
","conspiracy
",
"Medics in hazmat suits rush couple two children for coronavirus tests.
","unreliable
",
"WHO Encourages Adoption Of “Alternative Greetings” Like The “Elbow Tap” And “Foot Shake” To Fight Coronavirus.
","conspiracy
",
"CORONAVIRUS UPDATE: U.S. Coronavirus Outbreak Widens: Rhode Island confirms its first case of the …
","political/bias
",
"Coronavirus Is a Bigger Risk to the Rest of the World Now Than It Is to China #Spengler.
","political/bias
",
"Coronavirus Was Spreading In Washington State For 6 Weeks, Infecting Up To 1,500, Study Finds.
","conspiracy
",
"Dr. Anthony Fauci: Coronavirus Has Reached ‘Community Spread’ Within United States.
","conspiracy
",
